image,text
data/raw/synthetic/urdu_1.png,پاکستان زندہ باد
data/raw/synthetic/urdu_2.png,آج کا موسم خوشگوار ہے
data/raw/synthetic/urdu_3.png,تعلیم ہر انسان کا حق ہے
data/raw/synthetic/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
data/raw/synthetic/urdu_5.png,محنت کامیابی کی کنجی ہے
data/raw/synthetic/urdu_6.png,علم روشنی ہے
data/raw/synthetic/urdu_7.png,وقت بہت قیمتی ہے
data/raw/synthetic/urdu_8.png,محنت کا پھل میٹھا ہوتا ہے
data/raw/synthetic/urdu_9.png,ہر مسلمان پاکستانی ہے
data/raw/synthetic/urdu_10.png,صفائی نصف ایمان ہے
data/raw/synthetic/urdu_11.png,درخت لگائیں ماحول بچائیں
data/raw/synthetic/urdu_12.png,کتاب دوست بہترین ہے
data/raw/synthetic/urdu_13.png,ہر انسان برابر ہے
data/raw/synthetic/urdu_14.png,سچے میں کامیابی ہوتی ہے
data/raw/synthetic/urdu_15.png,پاکستان ایک خوبصورت ملک ہے
data/raw/synthetic/urdu_16.png,اردو ہماری قومی زبان ہے
data/raw/synthetic/urdu_17.png,پڑھائی کامیابی کی پہلی سیڑھی ہے
data/raw/synthetic/urdu_18.png,ہمیں دوسروں کی مدد کرنی چاہیے
data/raw/synthetic/urdu_19.png,دیانتداری بہترین پالیسی ہے
data/raw/synthetic/urdu_20.png,اتحاد ایمان اور نظم
data/raw/synthetic 1/41.png,یقین دہانی کے بعد کہ ناموس رسالت ﷺ کے قانون میں
data/raw/synthetic 1/42.png,کسی بھی قسم کی ترمیم یا تبدیلی نہیں کی جا رہی ہے،
data/raw/synthetic 1/43.png,اپنے مظاہروں کا سلسلہ ختم کر دیں۔ انہوں نے تمام تنظیمی ونگز
data/raw/synthetic 1/44.png,اور شعبہ جات کے ارکان سمیت تمام ذمہ داروں اور کارکنوں
data/raw/synthetic 1/45.png,سے کہا کہ وہ مذہبی رواداری اور فرقہ وارانہ ہم آہنگی
data/raw/synthetic 1/46.png,کے فروغ کیلئے گلی گلی کارنرز میٹنگز کا انعقاد کریں۔ انہوں
data/raw/synthetic 1/47.png,نے ان خیالات کا اظہار ایم کیو ایم کے مرکز نائن
data/raw/synthetic 1/48.png,زیرو پر ایم کیو ایم کے مختلف شعبہ جات کے ارکان
data/raw/synthetic 1/49.png,کے اجلاس سے ٹیلیفون پر خطاب کرتے ہوئے کیا۔ اپنے
data/raw/synthetic 1/50.png,فکرانگیز خطاب میں الطاف حسین نے کہا کہ اسلام کے معنی
data/raw/book  1/51.png,امن اور سلامتی ہیں، اسلام صرف مسلمانوں ہی
data/raw/book 1/52.png,کے نہیں بلکہ تمام مذاہب کے احترام کا درس دیتا ہے۔
data/raw/book 1/53.png,قرآن مجید میں اللہ تعالیٰ کا فرمان بالکل واضح ہے کہ ترجمہ:
data/raw/book 1/54.png,میرا دین میرے ساتھ، تمہارا دین تمہارے ساتھ، قرآن مجید میں
data/raw/book  1/55.png,ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ
data/raw/book  1/56.png,ترجمہ: دین میں کوئی جبر نہیں، اللہ تعالیٰ اپنے
data/raw/book  1/57.png,اس فرمان میں صاف لفظوں میں بتایا ہے کہ اسلام
data/raw/book 1/58.png,جبر اور انتہا پسندی کا نہیں اعتدال پسندی کا درس دیتا ہے، مذہبی
data/raw/book  1/59.png,انتہا پسندی اسلام کی تعلیمات کی نفی ہے۔ الطاف حسین نے
data/raw/book 1/60.png,کہا کہ جہاں انتہا پسندی ہو گی وہاں امن وسلامتی اور اتحاد
data/raw/other/1.png,اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس
data/raw/other/2.png,کی لوڈ شیڈنگ کیخلاف مظاہرہ کیا۔ پولیس تشدد سے ایک نوجوان
data/raw/other/3.png,منشور علی جاں بجق اور 2 خواتین سمیت 14 افراد زخمی ہو گئے۔
data/raw/other/4.png,علاقے میں کرفیو نافذ کر دیا گیا ہے۔ مکینوں نے الزام
data/raw/other/5.png,لگایا کہ پولیس کی فائرنگ سے شہری ہلاک ہوا جبکہ
data/raw/other/6.png,پولیس کا کہنا ہے کہ مظاہرین میں کسی نے ہم
data/raw/other/7.png,پر براہ راست فائرنگ کی اور فائرنگ کے تبادلے کے
data/raw/other/8.png,نتیجے میں ایک شہری ہلاک ہو گیا۔ تفصیلات کے مطابق بنوں
data/raw/other/9.png,میں اقوام میر اخیل اور اسکے ساتھ ملحقہ علاقے کے عوام
data/raw/other/10.png,نے بجلی و گیس کی لوڈ شیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے
data/raw/other/11.png,مظاہرہ کے دوران بنوں ڈیرہ ڈیرہ روڈ بلاک کر دی اور سڑک
data/raw/other/12.png,خالی کرنے سے انکار کر دیا، مظاہرین کو روڈ سے ہٹانے
data/raw/other/13.png,کیلئے پولیس نے مظاہرین پر لاٹھی چارج اور فائرنگ کی
data/raw/other/14.png,جس سے ایک نوجوان منشور علی جاں بجق اور 2 اور
data/raw/other/15.png,خواتین سمیت 14 افراد زخمی ہوئے۔ زخمیوں کو قریبی اسپتال
data/raw/other/16.png,منتقل کر دیا گیا۔۔ بنوں اور ڈیرہ اسماعیل خان ضلع کو
data/raw/other/17.png,ملانے والی مرکزی شاہراہ پر کرفیو نافذ کر دیا گیا ہے۔ بنوں
data/raw/other/18.png,میں تشدد اس وقت شروع ہوا جب 500 کے لگ بھگ
data/raw/other/19.png,مظاہرین نے مصروف شاہراہ بلاک کر دی اور خالی کرنے سے
data/raw/other/20.png,انکار کر دیا۔ مظاہرین نے شاہراہ کو 3 گھنٹے تک بلاک رکھا۔ پولیس کا
data/raw/signboard/21.png,کہنا ہے کہ ایک شخص فائرنگ کے تبادلے کے نتیجے
data/raw/signboard/22.png,میں جاں بحق ہوا جبکہ مکینوں کا الزام ہے کہ
data/raw/signboard/23.png,مظاہرین میں سے ایک شخص پولیس کی فائرنگ سے ہلاک
data/raw/signboard/24.png,ہوا ہے۔ بنوں کے ایک پولیس افسر نے اے ایف پی
data/raw/signboard/25.png,کو بتایا کہ پولیس نے مظاہرین کو منتشر کرنے کیلئے لاٹھی
data/raw/signboard/26.png,چارج اور آنسو گیس کے شیل فائر کئے جس کے
data/raw/signboard/27.png,جواب میں مظاہرین نے پولیس پر پتھراؤ شروع کر دیا۔ بنوں کے
data/raw/signboard/28.png,ایک اور پولیس افسر نے بتایا کہ فائرنگ پہلے مظاہرین
data/raw/signboard/29.png,میں سے کسی نے پولیس پر براہ راست کی۔ انہوں
data/raw/signboard/30.png,نے کہا کہ پولیس نے مظاہرین کو منتشر کرنے کیلئے
data/raw/signboard/31.png,ہوائی فائرنگ کی۔ انہوں نے کہا کہ مظاہرین نے بجلی
data/raw/signboard/32.png,کے گرڈ اسٹیشن پر حملہ کیا۔
data/raw/signboard/33.png,کراچی (اسٹاف رپورٹر) متحدہ قومی موومنٹ کے قائد
data/raw/signboard/34.png,الطاف حسین نے واضح اور دوٹوک الفاظ میں کہا ہے کہ کوئی
data/raw/signboard/35.png,بھی مسلمان اللہ تعالیٰ کے محبوب اور نبی آخرالزماں حضرت
data/raw/signboard/36.png,محمد مصطفیٰ ﷺ کی شان میں گستاخی کرنے کا تو کجا اس کا
data/raw/signboard/37.png,تصور بھی نہیں کر سکتا، حتیٰ کہ پاکستان میں رہنے والی
data/raw/signboard/38.png,اقلیتیں بھی سرکارِ دوعالم ﷺ کی شان میں گستاخی نہیں کر سکتیں لہٰذا
data/raw/signboard/39.png,میں تمام مسالک سے تعلق رکھنے والے مذہبی رہنماؤں سے
data/raw/signboard/40.png,درخواست کرتا ہوں کہ وہ وزیراعظم یوسف رضا گیلانی کی اس واضح
data/raw/newspaper/bbc_1.png,ایران کے گلستان صوبے میں واقع آقتکہ خان ریلوے پل پر امریکی حملے نے ایران کے اہم ترین ٹرانزٹ راستوں میں سے ایک کی جانب توجہ مبذول کروا دی ہے۔ یہ راستہ ایران کو اینچ برون سرحد کے ذریعے وسط ایشیا، روس اور چین کے ریلوے نیٹ ورک جوڑتا ہے۔ لیکن راہداری ایران کی معیشت کے لیے کتنی اہم ہے اور اس میں رکاوٹ پیدا ہونے کے کیا نتائج ہو سکتے ہیں؟ گلستان صوبے کے سپاہ نیوا نے ایک بیان میں کہا کہ آقتکہ خان پل کو امریکی کروز میزائلوں کا نشانہ بنایا گیا ہے۔ ایرانی ذرائع ابلاغ نے شائع ہونے والی رپورٹوں کے مطابق، کم از کم سات میزاائیل دریائی گورگن پر قائم اس ریلوے پل سے ٹکرائے۔ ایرانی حکام نے انسانی جانی نقصان کی کوئی اطلاع نہیں دی ہے، لیکن علاقے کی ریلوے بنیادی ڈھانچے کو نقصان پہنچنے کی خبر دی ہے۔ یہ حملہ ایسے وقت میں ہوا جب شمالی ایران کے ریلوے راستے گذشتہ چند برسوں کے دوران ملک کی تجارت اور ٹرانزٹ کے اہم راستوں میں تبدیل ہو چکے ہیں۔
data/raw/newspaper/bbc_2.png,رواں سال فروری میں، ایران کے خلاف امریکا اور اسرائیل کی جنگ کے دوران، تہران، البرز، قزوین، اصفہان اور مشرقی آذربائیجان صوبوں میں کم از کم چھ ریلوے پلوں کو نشانہ بنایا گیا۔ تاہم آقتکہ خان پل پر حملہ اپریل 2026 کی جنگ بندی کے خاتمے کے بعد ایران کے نقل و حرکت بنیادی ڈھانچے پر ہونے والا پہلا حملہ شمار ہوتا ہے۔ امریکی حکام نے آقتکہ خان پل کا براہ راست ذکر کیے بغیر کہا کہ اس روز ایران کے متعدد 'لاجسٹک اور امدادی بنیادی ڈھانچوں' کو نشانہ بنایا گیا۔ اس حملے کے ساتھ ہی خراسان رضوی صوبے میں تربت ریلوے سٹیشن کو بھی نشانہ بنایا گیا جس کے نتیجے میں مشہد جانے والا ریلوے راستہ بند ہو گیا۔
data/raw/newspaper/bbc_3.png,اس پل کی اہمیت کو دو اہم بین الاقوامی راستوں کے تناظر میں سمجھنا چاہیے۔ پہلا، چین کا 'بیلٹ اینڈ روڈ' منصوبہ ہے، جس نے مشرقی ایشیا، وسطی ایشیا، مشرق وسطیٰ اور یورپ کے درمیان زمینی اور سمندری راستوں کا ایک نیٹ ورک قائم کیا ہے۔ اس نیٹ ورک کی ایک شاخ چین سے شروع ہو کر قازقستان اور ترکمانستان سے گزرتی ہوئی اینچ برون سرحد کے راستے ایران میں داخل ہوتی ہے۔ دوسرا، بین الاقوامی شمال-جنوب نقل و حمل راہداری ہے، جسے انڈیا، ایران اور روس اور وسطی ایشیائی ممالک کو آپس میں جوڑنے کے لیے بنایا گیا ہے۔ اس منصوبے کا مقصد روس اور یورپ کے درمیان سامان کی ترسیل کے وقت اور لاگت کو کم کرنا ہے۔
data/raw/newspaper/bbc_4.png,ایرانی ریلوے حکام کے مطابق، گذشتہ سال کم از کم 65 مال بردار ٹرینیں چین سے ایران پہنچیں۔ خلیج فارس میں کشیدگی میں اضافے اور سمندری راستوں کے غیر محفوظ ہونے کے بعد ایران اور چین کے درمیان مال بردار ٹرینوں کی تعداد تقریباً تین گنا بڑھ گئی ہے۔ یہاں تک کہ بعض اوقات پر تین سے چار دن کے بعد چین سے مال بردار ٹرین ایران پہنچتی رہی ہے۔ روس نے بھی گذشتہ برسوں میں اس راستے کا استعمال بڑھایا ہے۔ 2015 میں روس کی پہلی مال بردار ٹرین ترکمانستان اور اینچ برون سرحد کے ذریعے ایران میں داخل ہوئی اور جنوب میں ایران میں واقع آئرین درائی پورٹ پر اپنا سامان اتارا۔ دونوں ممالک کے حکام نے اس واقعے کو اس علاقئی ریلوے راہداریوں کی طرف کی سمت اہم قدم قرار دیا۔
data/raw/newspaper/bbc_5.png,پٹرول سے سیرامکس تک تجارت کا ایک اہم راستہ۔ گورگان-اینچ برون ریلوے صرف ایک ٹرانزٹ راستہ نہیں بلکہ ایران کی وسطی ایشیا، روس اور چین کے ساتھ زمینی راستوں کے اہم ترین راستوں میں شمار ہوتا ہے۔ اس راستے سے ایران پیٹروکیمیکل مصنوعات، فولاد، سیمنٹ، تعمیراتی سامان اور سیرامکس اور اپنی بعض زرعی مصنوعات برآمد کرتا ہے۔ ان اشیا کی نقل و حمل زیادہ مقدار اور کم لاگت کی وجہ سے برآمد کنندگان کے لیے زیادہ اقتصادی فائدہ رکھتی ہے۔ دوسری جانب، اس راہداری کے ذریعے ایران کی درآمدات کا ایک اہم حصہ اناج، گندم، مکئی، جو، کپاس، مویشیوں کی خوراک، کیمیائی کھادیں اور خوراک اور زراعت کی صنعتوں کے لیے خام مال پر مشتمل ہے، جس کے لیے روس اور قازقستان ایرانی منڈی کے اہم فراہم کنندگان میں شمار ہوتے ہیں۔
data/raw/newspaper/bbc_6.png,حالیہ برسوں میں ایران اور چین کے درمیان تجارت کے پھیلاؤ کے ساتھ اس راستے سے کنٹینر نقل و حمل کا حصہ بھی بڑھا ہے۔ صنعتی مشینری، پیداواری آلات، صنعتی پرزہ جات، بعض استعمال شدہ اشیا اور کارخانوں کے لیے خام مال ان اشیا میں شامل ہیں جو اس ریلوے نیٹ ورک کے ذریعے ایران میں درآمد کی جاتی ہیں۔ اس دوران یہ راہداری روس، وسطی ایشیا، چین اور ایران کے جنوبی بندرگاہوں کے درمیان سامان کی ترسیل کے ایک اہم راستے میں بھی تبدیل ہو چکی ہے، اور اس سے گزرنے والا سامان خلیج فارس کے ممالک اور انڈیا کے منڈیوں تک پہنچایا جاتا ہے۔
data/raw/newspaper/bbc_7.png,کیا اس راستے نے پابندیوں کے اثرات کو کم کرنے میں کوئی کردار ادا کیا ہے؟ حالیہ برسوں میں ایران کے خلاف بڑھتی ہوئی اقتصادی پابندیاں اور روس پر عائد وسیع تر پابندیوں کے ساتھ اس راستے کی اہمیت مزید بڑھ گئی ہے۔ بہت سے تجزیہ کاروں کا خیال ہے کہ ایران کا شمالی-زمینی راہداری اور ریلوے راستوں نے ملک کے تجارتی راستوں میں تنوع پیدا کرنے میں مدد دی ہے اور ایران کی بیرونی تجارت کا سمندری راستوں پر انحصار کسی حد تک کم کیا ہے۔ ایرانی حکام بھی بارہا زور دے کر اس بات پہ چکے ہیں کہ شمال-جنوب اور مشرق-مغرب ریلوے راہداریوں کی ترقی بمساہ ممالک کے ساتھ اقتصادی تعلقات بڑھانے کی قومی حکمت عملی کا حصہ ہے۔
data/raw/newspaper/bbc_8.png,ایران کی معیشت پر اس حملے کا اثر۔ ایران کی ریلوے نے اعلان کیا ہے کہ حملے کے فوراً بعد متاثرہ حصوں کی بحالی کا کام شروع کر دیا گیا تھا۔ ریلوے کے سربراہ کے مطابق فنی ٹیمیں موقع پر تعینات کر دی گئی ہیں اور متاثرہ ریلوے لائنوں کا ایک حصہ مختصر وقت میں دوبارہ استعمال کے قابل بنا دیا گیا ہے۔ مختصر مدت میں اس راستے کا کچھ مال سڑکوں، حیرہ کیسپین کی بندرگاہوں، سرخس ریلوے راستے یا سڑک اور ریل کے مشترکہ نظام کے ذریعے منتقل کیا جا سکتا ہے۔ تاہم ماہرین کا کہنا ہے کہ گنجائش، لاگت اور رفتار کے لحاظ سے ان میں سے کوئی بھی متبادل گورگان-اینچ برون راستے کی جگہ مکمل طور پر نہیں لے سکتا۔
data/raw/newspaper/bbc_9.png,اگر بحالی کا کام منصوبے کے مطابق جاری رہا تو اس راستے اپریشنل رکاوٹ غالباً عارض ہوگی۔ لیکن جسمانی نقصان سے پٹ کر بعض تجربہ کاروں کا ماننا ہے کہ اس واقعے کی اصل اہمیت اس کے معاش اور نفسیاتی اثرات میں پوشیدہ ہے، کیونکہ ٹرانزٹ راستوں کی سلامتی اور استحکام بین الاقوامی کمپنیوں اور تجارتی شراکت داروں کے فیصلوں میں اہم کردار ادا کرتے ہیں۔ ماضی کی بحالی سرگرمیوں کا تجربہ ظاہر کرتا ہے کہ ایران کا ریلوے نیٹ ورک بنیادی ڈھانچے کو نسبتاً تیزی سے بحال کرنے کی اچھی صلاحیت رکھتا ہے۔ بہرحال، آقتکہ خان پل پر حملہ صرف تعمیرات یا نقل و حمل سے متعلق ایک واقعہ نہیں ہے، بلکہ ایسا واقعہ ہے جس کے معاش، تجارتی اور جغرافیائی سیاسی پہلو گلستان صوبے کی حدود سے آگے، بلکہ ایران کے سرحدوں سے باہر بھی توجہ کا مرکز بن سکتے ہیں۔
data/raw/newspaper/bbc_10.png,یہ راستہ روس، چین اور وسطی ایشیائی ممالک کے ساتھ ایران کے اقتصادی تعلقات کے فروغ میں اہم کردار ادا کرتا رہا ہے۔ ایرانی حکام کا کہنا ہے کہ اس راستے نے اقتصادی پابندیوں کے اثرات کو کم کرنے میں مدد دی ہے۔ یہ پہلی بار نہیں ہے کہ ایران کے ریلوے بنیادی ڈھانچے کو امریکی حملوں کا نشانہ بنایا گیا ہو۔
data/raw/newspaper/dawn_1.png,پاکستان میں پہلی بار مقامی طور پر ہوسٹ کیا گیا اے آئی ڈینا سینٹر اور خودمختار کلاؤڈ متعارف کروا دیا گیا ہے، جس سے ملک میں صحت، مالیات، عوامی تحفظ اور دیگر شعبوں میں مصنوعی ذہانت کے تیزی سے استعمال آنے کی توقع ہے اور ساتھ ہی سائبر سیکیورٹی اور ڈیٹا شفافیت بھی مضبوط ہوگی۔ ڈان اخبار میں شائع رپورٹ کے مطابق ٹیلی نار والٹ نے مقامی سطح پر ملک میں پہلی بار مقامی طور پر مصنوعی ذہانت کے آئی ڈینا سینٹر اور خودمختار اے آئی کلاؤڈ لانچ کر دیا ہے، جس سے صحت سمیت مختلف شعبوں میں پاکستان میں اے آئی کے استعمال میں تیزی آنے کی توقع ہے جبکہ سائبر سیکیورٹی اور ڈیٹا شفافیت بھی مضبوط ہوگی۔
data/raw/newspaper/dawn_2.png,ڈینا والٹ کی سی ای او او مہوش سلمان علی نے بتایا کہ ڈینا والٹ پاکستان کا ڈینا واحد ڈینا سینٹر ہے جو جی پی یو سروسز فراہم کر رہا ہے۔ انہوں نے کہا کہ اگرچہ یہ مشکل ہے، لیکن ہم نے 3 ہزار سے زائد جی پی یوز حاصل کیے ہیں اور انہیں بطور سروس فراہم کر رہے ہیں اور مزید کہا کہ اس طرح ہم ملک کا واحد اے آئی فعال ڈینا سینٹر بن چکے ہیں۔ مہوش علی کے مطابق ڈینا والٹ پاکستان کے پاس نویڈیا کی جانب سے جی پی یو زُس کے لیے باضابطہ خصوصی منظوری موجود ہے اور یہ جی پی یو وہ نویڈیا کے پارٹنرز سے خریدتی ہیں۔
data/raw/newspaper/dawn_3.png,ڈیٹا پروٹیکشن۔ کمپنی کا کہنا ہے کہ مقامی طور پر دستیاب خودمختار جی پی یو انفراسٹرکچر سے پاکستانی محققین، اسٹارٹ اپس، کاروباری اداروں اور یونیورسٹیوں کو اردو اور علاقائی زبانوں کے لیے اے آئی ماڈلز تیار کرنے میں مدد ملے گی، ساتھ ہی فن ٹیک سمیت شعبہ جاتی ضروریات پر مبنی اے آئی بھی بنائی جا سکے گی، کیونکہ اے آئی پر مبنی صنعت کو تبدیل کر رہی ہے، اس انقلاب کی بنیاد جی پی یو کمپیوٹنگ ہے۔ مزید یہ کہ تمام ڈیٹا کو پاکستان کے اندر رکھنے سے سائبر سیکیورٹی، دفاع، شفافیت، آڈٹ کے قابل عمل نظام، رسائی کنٹرول، آئیڈنٹیٹی منیجمنٹ، پرائیویسی اور قومی ڈیٹا پروٹیکشن مضبوط ہوگا۔
data/raw/newspaper/dawn_4.png,چوتھے ایشیز ٹیسٹ کے لیے میلبرن کرکٹ گراؤنڈ (ایم سی جی) کی بولرز کے لیے سازگار پچ کو انٹرنیشنل کرکٹ کونسل (آئی سی سی) نے ناقص قرار دے دیا۔ میچ ریفری جیف کرو نے کہا کہ ایم سی جی کی پچ زیادہ حد سے بولرز کے حق میں تھی، پہلے دن 20 وکٹیں گریں، دوسرے دن 16 وکٹیں گریں اور کوئی بھی بلے باز سنچری تک نہ پہنچ سکا۔ اسی لیے گائیڈ لائنز کے مطابق پچ کو ناقص قرار دیا گیا اور وینیو کو ایک میرٹ پوائنٹ ملا۔ واضح رہے کہ انگلینڈ نے دوسرے دن کے آخری سیشن میں چار وکٹوں سے آسٹریلیا کو شکست دی، چاروں اننگز میں کسی بھی بلے باز کا زیادہ سے زیادہ سکور 46 رہا۔
data/raw/newspaper/dawn_5.png,ایم سی جی کے کیوریٹر میٹ پیج نے ان کی ٹیم کی وکٹ پر 10 ملی میٹر گھاس چھوڑی، جس سے فاسٹ بالرز کو سیم اور باؤنس اور بیٹنگ نہایت مشکل ہوگئی۔ اس صورتحال کے باعث کرکٹ آسٹریلیا کو تقریباً ایک کروڑ آسٹریلوی ڈالر کے مالی نقصان کا سامنا کرنا پڑا کیونکہ تیسرے اور چوتھے دن کے ٹکٹ واپس کرنا پڑے۔ کرکٹ آسٹریلیا کے چیف آف کرکٹ جیمز آل سوپ نے کہا کہ اس روز تیسرے اور چوتھے دن کے ٹکٹ رکھنے والے شائقین اور دنیا بھر میں میچ دیکھنے کے منتظر لاکھوں مداحوں کے لیے یہ مایوس کن تھا کہ بلے اور گیند کے درمیان ایم سی جی کا روایتی توازن فراہم نہ کر سکی۔
data/raw/newspaper/dawn_6.png,اسلام آباد: وزیراعظم شہباز شریف اور چیئرمین پاکستان کرکٹ بورڈ (پی سی بی) محسن نقوی نے انڈر 19 ایشیاکپ جیتنے پر پاکستانی ٹیم اور پوری قوم کو مبارکباد دی ہے۔ اپنے بیان میں وزیراعظم شہباز شریف نے کہا کہ نوجوان پاکستانی کھلاڑیوں نے بہترین کارکردگی کا مظاہرہ کیا کہ بھارت کو فائنل میں شکست دے کر پاکستانی کھلاڑیوں کے نام تاریخی رقم کی۔ وزیراعظم نے کہا کہ پوری قوم کو اپنے ان نوجوان کھلاڑیوں پر فخر ہے، انڈر 19 ٹیم بلاشبہ مستقبل میں بھی ملک کا نام عالمی سطح پر روشن کرے گی۔ شہباز شریف نے کہا کہ پاکستان کرکٹ بورڈ کے چیئرمین محسن نقوی سمیت تمام ٹیم مینجمنٹ کو خراج تحسین پیش کرتا ہوں۔
data/raw/newspaper/dawn_7.png,کرکٹ آسٹریلیا کی ریکی ٹیم انتظامات کا جائزہ لینے قذافی اسٹیڈیم پہنچی اور ریکی ٹیم نے معمول کے دورے میں وینیوز کا جائزہ لیا۔ ذرائع کے مطابق ریکی ٹیم قذافی اسٹیڈیم اور این ایس سی اے ایل سی اے گراؤنڈ کا بھی جائزہ لیا۔ ٹیم کو پی سی بی اور سیکیورٹی حکام نے بریفنگ بھی دی۔ اس سے قبل کمشنر لاہور مریم خان نے بھی آسٹریلین انتظامات پر آسٹریلین ریکی ٹیم کو بریفنگ دی۔ آسٹریلیا ٹی 20 ٹیم نے آئندہ ماہ کے آخر میں پاکستان کا دورہ کرنا ہے، پاکستان اور آسٹریلیا کے درمیان تین ٹی 20 میچز کی سیریز شیڈول ہے۔
data/raw/newspaper/dawn_8.png,پاک انسٹیوٹ فار پیس اسٹڈیز کی 'پاکستان سیکیورٹی رپورٹ 2025' کے مطابق ملک بھر میں 699 دہشت گرد حملے ریکارڈ کیے گئے، جو 2024 کے مقابلے میں 34 فیصد زیادہ ہیں۔ ان حملوں میں ایک ہزار 34 افراد جاں بحق اور ایک ہزار 366 افراد زخمی ہوئے جو ہلاکتوں میں 21 فیصد اضافے کی نشاندہی کرتا ہے۔ مجموعی طور پر تناژعات سے جڑے پرتشدد واقعات جن میں دہشت گرد حملے، انسدادِ دہشت گردی آپریشنز، سرحدی جھڑپیں اور اغوا شامل ہیں، بڑھ کر 2024 کے مقابلے میں 43 فیصد اضافے کے ساتھ سامنے آئے۔ ان واقعات کو اب محض وقتی ناکامی قرار نہیں دیا جا سکتا بلکہ یہ ایسے ایک بحران کی طرف اشارہ کرتے ہیں جو تیزی سے پھیل رہا ہے اور جس پر قابو پانا مشکل ہوتا جا رہا ہے۔ سب سے نمایاں تبدیلی یہ ہے کہ دہشت گردی کا ہدف کون بن رہا ہے۔ اب شہید ہونے والوں میں سیکیورٹی اہلکاروں کا بڑا حصہ شامل ہے۔ پولیس اسٹیشنز، سیکیورٹی قافلے اور چیک پوسٹیں بار بار حملے کا نشانہ بن رہی ہیں جبکہ فوجی یونٹس بھی نشانہ بنے ہیں۔
data/raw/newspaper/dawn_9.png,تشدد جغرافیائی طور پر بھی مخصوص علاقوں میں مرکوز ہے۔ تقریباً تمام دہشت گردانہ حملے خیبر پختونخوا اور بلوچستان میں ہوئے۔ خیبر پختونخوا کے جنوبی اضلاع میں قانون نافذ کرنے والے ادارے اور ان پر حملے معمول بن چکے ہیں۔ بلوچستان میں دہشت گردوں نے اپنی حکمت عملی کو محض 'حملہ کرو اور بھاگ جاؤ' تک محدود نہیں رکھا، بلکہ اب اس میں شاہراہوں کی ناکہ بندی، اغوا اور بنیادی ڈھانچے کی تخریب کاری بھی شامل ہو چکی ہے۔ یہ واضح ہو چکا ہے کہ یہ ملک کی مغربی سیکیورٹی کے لحاظ سے سب سے بڑی فالٹ لائن بن چکی ہے۔ ریاست نے اس کا جواب طاقت سے دیا ہے۔ انسداد دہشت گردی کی کارروائیوں میں تیزی لائی گئی، جن میں ایک ہزار سے زائد دہشت گرد مارے گئے۔ لیکن عسکری کارروائیوں پر یہ شدید انحصار ایک گہرے مسئلے کی نشاندہی کرتا ہے کہ سکیورٹی آپریشنز کے باوجود حملوں کی تعداد بڑھ رہی ہے۔
data/raw/newspaper/dawn_10.png,کراچی میں مذہبی جذبات مجروح کرنے کے الزام میں درج مقدمے کی سماعت کے دوران سیشنز کورٹ میں ایڈووکیٹ رجب بٹ پر جسمانی حملہ کیا گیا، جس کے باعث عدالت کا ماحول بدنظمی کا شکار ہوگیا۔ رجب بٹ کو 20 دسمبر کو دی گئی عبوری ضمانت کی مدت ختم ہونے پر آج (پیر کو) سیشنز کورٹ سینٹرل میں پیش ہوئے تھے، تاہم سماعت کے دوران ہنگامہ آرائی ہوئی اور ان پر حملہ کر دیا گیا۔ ان کے وکیل میاں علی اشفاق نے سوشل میڈیا پلیٹ فارم ایکس پر بیان میں الزام لگایا کہ کراچی سٹی کورٹ کے احاطے میں کچھ وکلاء نے ان کے موکل پر ان کی موجودگی میں حملہ کیا جس سے رجب بٹ زخمی ہوئے۔ ان کا کہنا تھا کہ بار بار روکنے کے باوجود تشدد جاری رکھا گیا جو وکلاء کے لیے غیر پیشہ ورانہ طرزِ عمل ہے۔
